,CL_NM,TRRSRT_NM,ADDR,ADDR_new,TEL_NO,TOT_ENTRN_NMPR_CO,SETLE_PRICE,ENTRN_DE,SGNG_CD,LGDNG_CD
1360,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,3,280800,20220430,50130,32021
1361,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,2,202200,20220430,50130,32021
1362,기타,해비치호텔앤드리조트(섬모라),제주 서귀포시 표선면 민속해안로 537,제주특별자치도 서귀포시 표선면 표선리,647808322.0,2,225000,20220430,50130,32021
1363,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,2,13600,20210901,50110,25326
1364,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,36000,20210901,50110,13700
1365,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,13000,20210903,50110,13700
1366,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210903,50110,13700
1367,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210904,50110,13700
1368,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210905,50110,13700
1369,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210905,50110,13700
1370,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210906,50110,13700
1371,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,13000,20210908,50110,13700
1372,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210910,50110,13700
1373,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210910,50110,13700
1374,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210911,50110,13700
1375,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210911,50110,13700
1376,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210911,50110,13700
1377,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,13000,20210912,50110,13700
1378,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,9000,20210912,50110,13700
1379,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210912,50110,13700
1380,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,36000,20210913,50110,13700
1381,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210913,50110,13700
1382,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,13000,20210913,50110,13700
1383,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,2,31400,20210913,50110,25326
1384,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210913,50110,13700
1385,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210913,50110,13700
1386,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,52000,20210913,50110,13700
1387,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210914,50110,13700
1388,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,2,13600,20210914,50110,25326
1389,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,3,27000,20210914,50110,25326
1390,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210915,50110,13700
1391,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,17900,20210915,50110,13700
1392,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210916,50110,13700
1393,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,3,39000,20210916,50110,13700
1394,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,9000,20210916,50110,13700
1395,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210916,50110,13700
1396,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,36000,20210916,50110,13700
1397,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210917,50110,13700
1398,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,13000,20210919,50110,13700
1399,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,13000,20210919,50110,13700
1400,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,13000,20210919,50110,13700
1401,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,3,27000,20210920,50110,13700
1402,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210921,50110,13700
1403,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210921,50110,13700
1404,기타,고스트타운,제주특별자치도 제주시 애월읍 부룡수길 35-12,제주특별자치도 제주시 애월읍 신엄리,647996001.0,2,11700,20210921,50110,25326
1405,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,4,52000,20210922,50110,13700
1406,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210925,50110,13700
1407,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210926,50110,13700
1408,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210926,50110,13700
1409,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210926,50110,13700
1410,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20210929,50110,13700
1411,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210929,50110,13700
1412,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210929,50110,13700
1413,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20210930,50110,13700
1414,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,3,27000,20210930,50110,13700
1415,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211001,50110,13700
1416,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211003,50110,13700
1417,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211004,50110,13700
1418,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,18000,20211005,50110,13700
1419,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,9000,20211006,50110,13700
1420,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,9000,20211006,50110,13700
1421,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211009,50110,13700
1422,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,1,9000,20211011,50110,13700
1423,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211011,50110,13700
1424,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211011,50110,13700
1425,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211012,50110,13700
1426,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,43800,20211013,50110,13700
1427,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,3,39000,20211013,50110,13700
1428,기타,제주수목원 플레이박스,제주특별자치도 제주시 은수길 69,제주특별자치도 제주시 연동,647423700.0,2,26000,20211013,50110,13700
