"콘텐츠명","노키즈존","예약가능여부","룸보유여부","유아서비스기타","평일오픈시간","평일클로즈시간","주말오픈시간","주말클로즈시간","휴식시작시간","휴식종료시간","대표메뉴기타"
"지미스","","","","","08:00","17:30","08:00","17:30","","",""
"황금손가락","","","","","11:30","22:00","11:30","22:00","","",""
"진고개가든","","","","","","","","","","",""
"한림칼국수","","","","","07:00","16:00","07:00","16:00","","",""
"흑염소마루","","","","","11:00","21:00","11:00","21:00","","",""
"진미명가식당","","","","","11:30","20:30","11:30","20:30","","",""
"영춘식당","","","","","10:00","20:00","10:00","20:00","","",""
"어머니와고등어","","","","","08:00","21:00","08:00","21:00","","",""
"엉클통김밥","","","","","","","","","","",""
"헬로우우도","","","","","08:00","20:00","08:00","20:00","","",""
"산호풍경","","","","","","","","","","",""
"춘심이네","","","","","10:30","20:00","10:30","20:00","","",""
"오조해녀의 집","","","","","06:00","20:00","06:00","20:00","","",""
"돈풍년","","","","","12:00","22:30","12:00","22:30","","",""
"탐라흑돼지","","","","","11:00","22:00","11:00","22:00","","",""
"제주정","","","","","10:00","21:30","10:00","21:30","","",""
"해운대가든","","","","","10:00","22:00","10:00","22:00","","",""
"예지원","","","","","08:00","21:00","08:00","21:00","","",""
"돌집식당","","","","","10:00","21:00","10:00","21:00","","",""
"섯동네해녀의집","","","","","","","","","","",""
"괸당네식당","","","","","08:30","16:30","08:30","16:30","","",""
"강해일횟집","","y","","","10:00","23:00","10:00","23:00","","",""
"미원","","","","","05:00","16:00","05:00","16:00","","",""
"비원","","","","","11:00","21:30","11:00","21:30","","",""
"한라앤탐","","","","","8:30","16:00","","","","",""
"김지순의 낭푼밥상","","","","","10:30","21:00","10:30","21:00","","",""
"카페콧수염","","","","","10:00","21:00","10:00","21:00","","",""
"시흥해녀의집","","","","","07:00","20:30","07:00","20:30","","",""
"명물","","","","","","","","","","",""
"순풍해장국","","","","","06:00","16:00","06:00","16:00","","",""
"코너스윗","","","","","11:30","22:00","11:30","22:00","","",""
"탐라가든","","","","","10:30","22:00","10:30","22:00","","",""
"마라도해녀촌짜장","","","","","","","","","","",""
"심봉사눈뜬톳해물짜장짬뽕","","","","","10:00","15:30","10:00","15:30","","",""
"머들왓","","","","","10:00","19:00","10:00","19:00","","",""
"한라식당","","","","","10:00","21:00","10:00","21:00","","",""
"양촌리마을","","","","","11:30","21:00","11:30","21:00","","",""
"낭뜰에쉼팡","","","","","09:00","20:30","09:00","20:30","","","낭뜰정식, 쌈채, 야채비빔밥, 녹차들깨수제비"
"커피잇수다","","","","","10:00","19:00","10:00","19:00","","",""
"황궁쟁반탐라원","","","","","11:00","19:00","11:00","19:00","","",""
"제라한보쌈","","","","","15:00","23:30","15:00","23:30","","",""
"재복헌훠궈","y","n","","","17:30","23:00","17:30","23:00","","","홍탕과 백탕에 신선한 식재료를 함께 즐기는 사천식 훠궈"
"성산포뚝배기","","","","","08:00","22:00","08:00","22:00","","",""
"짬뽕에취한날","","","","","10:30","16:30","11:00","16:30","","",""
"카페마니","","","","","11:30","16:00","11:30","16:00","","",""
"마린보이횟집","","","","","11:00","23:00","11:00","23:00","","",""
"제대가는길","","","","","10:00","22:00","10:00","22:00","","",""
"장승포식당","","","","","08:30","20:30","08:30","20:30","","",""
"와토커피","","","","","08:00","20:00","08:00","20:00","","",""
"유끼네","","","","","10:00","18:00","10:00","18:00","","",""
"나루면빨","","","","","10:00","18:00","10:00","18:00","","",""
"이스트엔드","","","","","12:00","21:30","","","","",""
"금뽕똘향토음식점","","","","","09:00","21:00","09:00","21:00","","",""
"대광장식당","","","","","06:30","21:00","06:30","21:00","","",""
"달콤한휴식","","","","","11:00","18:30","11:00","18:30","","",""
"한치앞도모를바다","","","","","11:30","19:00","11:30","19:00","","",""
"별방21","","","","","11:30","20:00","11:30","20:00","","",""
"돈돼지흑돼지","","","","","09:00","23:00","09:00","23:00","","",""
"마돈","","","","","11:00","22:00","11:00","22:00","","",""
"타코마씸","","","","","11:00","19:30","11:00","19:30","","",""
"로뎀가든","","","","","09:00","17:30","09:00","17:30","","",""
"청춘다락","","","","","12:00","18:00","12:00","18:00","","",""
"88버거","","","","","10:00","21:00","10:00","21:00","","","88버거, 아메리칸치즈버거, 크림소스버거, 어니언칠리버거"
"포도원흑돼지","","y","","","11:00","22:00","11:00","22:00","","",""
"사방팔방","","","","","16:30","22:00","16:30","22:00","","",""
"삼무국수","","","","","08:00","23:00","08:00","23:00","","",""
"신동성식당","","","","","10:00","22:00","10:00","22:00","","",""
"아일랜드조르바","","","","","10:30","18:00","10:30","18:00","","",""
"에너벨리","","","","","08:00","22:00","08:00","22:00","","",""
"몽생이","","","","","06:30","20:00","06:30","20:00","","",""
"낙화곡주(구.우도주막)","","","","","09:00","20:00","09:00","20:00","","",""
"카페루시아","y","n","","","10:00","21:00","10:00","21:00","","","아메리카노, 댕유자차"
"상춘재","","","","","10:00","16:00","10:00","16:00","","",""
"순이네해장국","","","","","09:00","22:00","08:00","21:00","","",""
"과수원집","","","","","11:30","22:00","11:30","22:00","","",""
"파리바게트 성산일출봉점","","","","","07:00","23:00","07:00","23:00","","",""
"금강민물장어","","","","","10:00","22:00","10:00","22:00","","",""
"돔베돈 공항점","","","","","11:30","23:00","11:30","23:00","","",""
"독도참치","","","","","16:00","02:00","16:00","02:00","","",""
"조마루뼈다귀서귀포점","","","","","10:00","24:00","10:00","24:00","","",""
"브릭스 제주","","","","","11:00","19:00","11:00","19:00","","",""
"봉끄랑","","","","","10:00","17:00","10:00","17:00","","",""
"망고레이","","","","","","","","","","",""
"운정이네","","","","","08:00","22:00","08:00","22:00","","",""
"신설오름","","","","","08:00","06:00","08:00","06:00","","",""
"바당꺼몬딱","","","","","09:00","20:00","09:00","20:00","","",""
"또또시","","","","","10:00","18:30","10:00","18:30","","",""
"중문자연산횟집","","","","","12:00","01:00","12:00","01:00","","",""
"몽상드애월(몽상)","","","","","10:30","20:30","10:30","20:30","","",""
"제주도푸른밥","","","","","11:00","20:00","11:00","20:00","","",""
"일통이반","","","","","12:00","00:00","12:00","00:00","","",""
"바다다","","","","","10:00","01:00","10:00","01:00","","",""
"바다목장 횟집","","","","","10:00","22:00","10:00","22:00","","",""
"제주바다바다","","","","","11:00","22:00","11:00","22:00","","",""
"중화요리 사해방","","","","","10:00","22:00","10:00","22:00","","",""
"우무(umu)","","","","","10:00","19:00","10:00","19:00","","",""
"델문도","","","","","07:00","24:00","07:00","24:00","","",""
"도두해녀의집","","","","","10:00","20:30","10:00","20:30","","",""
"예소담","","","","","07:00","22:00","07:00","20:00","","",""
"이돈갓시청점","","","","","11:30","22:00","11:30","22:00","","",""
"원항아리칼국수보쌈","","","","","10:00","21:00","10:00","21:00","","",""
"덤장","","y","","","08:00","21:00","08:00","21:00","","",""
"카카듀","","","","","11:00","23:00","11:00","23:00","","",""
"서우봉가든","","","","","11:30","00:00","11:30","00:00","","",""
"생이소리","","","","","07:00","20:00","07:00","20:00","","",""
"제주맛촌본점","","","","","10:00","21:00","10:00","21:00","","",""
"카페헤밍웨이","","","","","10:00","19:00","10:00","19:00","","",""
"황금어장(제주시)","","","","","09:00","21:00","09:00","21:00","","",""
"순옥이네 명가","","","","","09:00","21:00","09:00","21:00","","",""
"순정문어","","","","","14:00","01:00","14:00","01:00","","",""
