"여행일정ID","언어코드","제목","조회수","공유수","여행시작일","여행종료일","인원","여행기간","태그","등록일시","수정일시","추천일정등록여부","공개여부","댓글수","댓글수_1","북마크수","사용여부","SNS공유수","인기점수"
"18357","kr","자매 제주여행 ",1,0,22/04/07,22/04/10,4,4,"휴식과 치유 여행,자매,제주,친구",22/02/20,22/02/20,"n","n",0,0,0,"y",0,2
"18358","kr","다같이 처음 가는 제주도 2박 3일",3,0,22/03/11,22/03/13,3,3,"부모,휴식과 치유 여행,처음제주도",22/02/20,22/02/22,"n","n",0,0,0,"n",0,6
"18363","kr","TV속 맛집 탐방!",0,0,22/03/16,22/03/21,2,6,"커플,식도락 여행,먹방투어,데이트,맛집투어",22/02/21,22/02/21,"n","n",0,0,0,"y",0,
"18277","kr","1박2일",3,0,22/02/23,22/02/24,4,2,"부모,휴식과 치유 여행,천천히걷기",22/02/15,22/02/18,"n","n",0,0,0,"y",0,6
"18282","kr","우리가족 제주여행",0,0,22/02/21,22/02/24,5,4,"아이,휴식과 치유 여행,가족여행",22/02/15,22/02/15,"n","n",0,0,0,"y",0,
"18403","kr","4박5일 가족여행",1,0,22/02/14,22/02/18,5,5,"아이,레저와 체험,가족여행,아이와이형",22/02/12,22/02/12,"n","n",0,0,0,"y",0,2
"18404","kr","2022년 2월 자매들 제주여행",6,0,22/02/15,22/02/18,4,4,"친구,휴식과 치유 여행,맛있는 음식,언니들이랑",22/02/12,22/02/18,"n","n",0,0,0,"y",0,12
"18405","kr","제쥬",0,0,22/06/19,22/06/24,2,6,"커플,휴식과 치유 여행,커플,제주",22/02/12,22/02/12,"n","n",0,0,0,"y",0,
"18406","kr","우리가족제주힐링여행",2,0,22/02/21,22/02/24,4,4,"아이,휴식과 치유 여행,체험여행",22/02/13,22/02/17,"n","n",0,0,0,"n",0,4
"18407","kr","제주가족여행",0,0,22/04/05,22/04/12,4,8,"아이,휴식과 치유 여행,가족",22/02/13,22/02/13,"n","n",0,0,0,"y",0,
"18408","kr","1박2일로~",1,0,22/02/14,22/02/15,4,2,"아이,휴식과 치유 여행,자연",22/02/13,22/02/13,"n","n",0,0,0,"y",0,2
"18409","kr","반려동물과 함께 가는 제주 여행",1,0,22/03/10,22/03/13,1,4,"혼자,활동/레저,반려동물,힐링여행,나홀로",22/02/13,22/02/13,"n","n",0,0,0,"y",0,2
"18410","kr","4박5일 제주여행",4,0,22/02/20,22/02/24,2,5,"휴식과 치유 여행,커플,식도락",22/02/13,22/02/17,"n","n",0,0,0,"n",0,8
"18411","kr","신혼여행",2,0,22/04/11,22/04/14,2,4,"커플,식도락 여행,허니문,휴식",22/02/13,22/02/13,"n","n",0,0,0,"y",0,4
"18412","kr","우리가족 힐링 여행",1,0,22/02/14,22/02/16,3,3,"부모,휴식과 치유 여행,나만,처음,제주도",22/02/13,22/02/13,"n","y",0,0,0,"y",0,2
"18413","kr","별내린",1,0,22/02/14,22/02/16,3,3,"휴식과 치유 여행,부모,ㅇㄹ,ㄴㄹ",22/02/13,22/02/13,"n","n",0,0,0,"y",0,2
"18414","kr","제주",0,0,22/03/20,22/03/22,2,3,"커플,휴식과 치유 여행,관광",22/02/14,22/02/14,"n","n",0,0,0,"y",0,
"18415","kr","결혼기념여행",1,0,22/03/03,22/03/05,2,3,"커플,식도락 여행,먹방투어,맛집,카페",22/02/14,22/02/14,"n","n",0,0,0,"y",0,2
"18416","kr","2박3일",2,0,22/04/02,22/04/04,2,3,"친구,휴식과 치유 여행,서부여행,천천히",22/02/14,22/02/15,"n","n",0,0,0,"y",0,4
"18417","kr","우리가족 힐링 여행",0,0,22/02/20,22/02/22,3,3,"부모,휴식과 치유 여행,나만,처음,제주도",22/02/14,22/02/14,"n","n",0,0,0,"y",0,
"18286","kr","나혼자 제주도",0,0,22/02/24,22/02/26,1,3,"혼자,휴식과 치유 여행,제주",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18291","kr","우리 가족 제주도",0,0,22/02/23,22/02/24,1,2,"부모,레저와 체험,놀자",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18292","kr","다 같이 제주도 여행",0,0,22/02/24,22/02/26,1,3,"부모,2,3,휴식과 치유 여행",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18293","kr","우리 여행 제주도",0,0,22/02/23,22/02/24,1,2,"부모,레저와 체험,2",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18304","kr","제주여행",0,0,22/02/15,22/02/25,1,11,"부모,휴식과 치유 여행,2",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18305","kr","제주여행",0,0,22/02/23,22/02/23,1,1,"아이,레저와 체험,2",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18306","kr","제주 힐링",0,0,22/02/24,22/02/26,1,3,"부모,천천히 걷기,3",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18311","kr","힐링",0,0,22/02/15,22/02/23,1,9,"부모,레저와 체험,2",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18334","kr","가족",1,0,22/02/19,22/02/19,4,1,"아이,휴식과 치유 여행,가족,고3",22/02/17,22/02/17,"n","n",0,0,0,"n",0,2
"18294","kr","나의 여행 제주도",0,0,22/02/24,22/02/26,1,3,"부모,레저와 체험,1",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18346","kr","성우와 첫 제주도",1,0,22/02/20,22/02/22,6,3,"부모,식도락 여행,가족",22/02/18,22/02/18,"n","n",0,0,0,"y",0,2
"18279","kr","제주도 장녀여행",1,0,22/02/23,22/02/26,3,4,"친구,휴식과 치유 여행,추억",22/02/15,22/02/15,"n","n",0,0,0,"y",0,2
"18285","kr","가족여행 ",0,0,22/02/22,22/02/26,4,5,"아이,식도락 여행,가족",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18296","kr","나 혼자 제주도",0,0,22/02/24,22/02/26,1,3,"아이,휴식과 치유 여행,1",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18298","kr","가자 제주",0,0,22/02/24,22/02/26,1,3,"부모,천천히 걷기,2",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18299","kr","힐링",0,0,22/02/16,22/02/17,1,2,"부모,천천히 걷기,1",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18302","kr","가자 제주 여행",0,0,22/02/24,22/02/26,1,3,"부모,휴식과 치유 여행,1",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18310","kr","이제 제주로",0,0,22/02/15,22/02/16,1,2,"부모,레저와 체험,2",22/02/16,22/02/16,"n","n",0,0,0,"n",0,
"18337","kr","제주도여행",1,0,22/02/19,22/02/23,4,5,"아이,천천히 걷기,안전한여행",22/02/18,22/02/18,"n","n",0,0,0,"y",0,2
"18351","kr","알고보면 쓸데많은 신비한 제주여행",1,0,22/02/26,22/02/28,3,3,"아이,제주의 문화유산,문화유적지,테마공원,4.3",22/02/19,22/02/19,"n","y",0,0,0,"y",0,2
"18278","kr","일정",1,0,22/02/17,22/02/19,2,3,"친구,휴식과 치유 여행,드라이브",22/02/15,22/02/15,"n","n",0,0,0,"y",0,2
"18323","kr","빠꾸없다",3,0,22/02/25,22/02/28,7,4,"휴식과 치유 여행,친구,추억",22/02/16,22/02/19,"n","n",0,0,0,"y",0,6
"18321","kr","직접 보고 느끼는 제주 역사 여행",1,0,22/03/21,22/03/23,10,3,"제주의 문화유산,역사여행,문화탐방,교육여행,친구",22/02/16,22/02/16,"n","y",0,0,0,"y",0,2
"18360","kr","2.23 가족",0,0,22/02/23,22/02/28,4,6,"아이,레저와 체험,제주시내",22/02/20,22/02/20,"n","n",0,0,0,"y",0,
