장소ID,장소명,도로명주소,장소상세설명,위도,경도,등록일시,수정일시,지번주소,사용여부
4328,제주 국제공항,제주특별자치도 제주시 도령로 159,ㅇ,33.5049624,126.4940837,2021-07-04,2021-07-04,제주특별자치도 제주시 용담2동 1462,y
4368,제주레포츠랜드,제주특별자치도 제주시 와흘전1길 32 회천운동장,시현 카트wow,33.4803113,126.6329417,2021-07-11,2021-07-11,제주특별자치도 제주시 봉개동 230,y
4357,생기고그네,제주특별자치도 서귀포시 섭지코지로25번길 64,2,33.3288829,126.382508,2021-07-09,2021-07-09,제주특별자치도 서귀포시 안덕면 광평리 산154,y
4358,the 연 돈까스,제주특별자치도 서귀포시 섭지코지로25번길 64,식당,33.2620096,126.4063552,2021-07-09,2021-07-09,제주특별자치도 서귀포시 예래동 2035,y
4373,3일차 점심,제주특별자치도 서귀포시 마라로 113 초코렛박물관마라도홍보관,ㅈㄹㄴㅁㄹㅇㅁㄴㄹ,33.1144625,126.2678253,2021-07-11,2021-07-11,제주특별자치도 서귀포시 대정읍 가파리 583,y
4376,자매국수,제주특별자치도 제주시 탑동로13길 7,1일차 점심,33.5167895,126.5165594,2021-07-11,2021-07-11,제주특별자치도 제주시 삼도2동 1227-1,y
4377,노형감귤체험농장,제주특별자치도 제주시 탑동로13길 7,나현 ㅈ3ㅡㄹ글것,33.4632473,126.4856274,2021-07-11,2021-07-11,제주특별자치도 제주시 노형동 177-1,y
4378,제주항,제주특별자치도 제주시 연무정길 28 현대아파트,도착,33.5167963,126.5351108,2021-07-11,2021-07-11,제주특별자치도 제주시 건입동 940-3,y
4380,살찐고등어,,1767,33.5249849,126.8946456,2021-07-13,2021-07-13,제주특별자치도 제주시 구좌읍 하도리,y
4388,영빈횟집,,제주 서귀포시 칠십리로 129 영빈횟집,33.2422806,126.5689907,2021-07-14,2021-07-14,제주특별자치도 서귀포시 서귀동,y
4398,통물,제주특별자치도 제주시 함덕7길 12-3,제주시 조천읍 신북로 468 갈치조림,33.5447585,126.6613705,2021-07-20,2021-07-20,제주특별자치도 제주시 조천읍 함덕리 3104,y
4407,취향의섬,,진돗개 카페,33.2737402,126.6685264,2021-07-25,2021-07-25,제주특별자치도 서귀포시 남원읍 위미리 1679-1,y
4408,애월수산,제주특별자치도 제주시 고내북서길 26,딱새우,33.4672556,126.3320405,2021-07-25,2021-07-25,제주특별자치도 제주시 애월읍 고내리 1230,y
4414,넥슨컴퓨터박물관,제주특별자치도 제주시 1100로 3213,넥슨컴퓨터,33.4733581,126.4834832,2021-07-27,2021-07-27,제주특별자치도 제주시 노형동 607,y
4415,말로카페,제주특별자치도 제주시 1100로 3213,조랑말 카페,33.467628,126.6585417,2021-07-27,2021-07-27,제주특별자치도 제주시 조천읍 와흘리 산12-1,y
4417,카페더라이트,제주특별자치도 서귀포시 한도로 269,뷰맛집,33.465754,126.9359252,2021-07-27,2021-07-27,제주특별자치도 서귀포시 성산읍 성산리 298-22,y
4419,오늘도 회는 뜬다,제주특별자치도 제주시 명주길 16,식당,33.5363154,126.6816066,2021-07-27,2021-07-27,제주특별자치도 제주시 조천읍 북촌리 2071-3,y
4422,공항,제주특별자치도 제주시 공항로 2 제주공항 주차빌딩,공항,33.5072068,126.4930537,2021-07-31,2021-07-31,제주특별자치도 제주시 용담2동 2002,y
4423,라마다제주시티호텔,제주특별자치도 제주시 광양9길 10 제주시청,숙박지,33.4959466,126.5323641,2021-07-31,2021-07-31,제주특별자치도 제주시 이도2동 1085-4,y
4424,라마다제주시티호텔,제주특별자치도 제주시 광양9길 10 제주시청,숙박지,33.4959466,126.5323641,2021-07-31,2021-07-31,제주특별자치도 제주시 이도2동 1085-4,y
4430,카페 노티드,제주특별자치도 제주시 한경면 고산로8길 8 대일연립주택,애월 카페거리 미리 주문하고 픽업,33.4638539,126.3103313,2021-08-06,2021-08-06,제주특별자치도 제주시 애월읍 애월리 2524,y
4431,난산리큰집,제주특별자치도 제주시 한경면 고산로8길 8 대일연립주택,게스트하우스,33.3940597,126.8757974,2021-08-06,2021-08-06,제주특별자치도 서귀포시 성산읍 난산리 188-6,y
4432,연돈,제주특별자치도 서귀포시 색달중앙로63번길 1,돈가스집(테이블팅 예약해야 감),33.2580853,126.4069901,2021-08-06,2021-08-06,제주특별자치도 서귀포시 예래동 3383,y
4434,미르게스트하우스,제주특별자치도 제주시 성화로6길 51 제주서초등학교,숙소,33.5122018,126.5105326,2021-08-06,2021-08-06,제주특별자치도 제주시 용담2동 603-3,y
4498,안돌오름(비밀의숲),제주특별자치도 제주시 평대5길 37-2,비밀의숲,33.4564089,126.7566973,2021-09-12,2021-09-12,제주특별자치도 제주시 구좌읍 송당리 산66-2,y
4532,제주공항,제주특별자치도 제주시 다호북길 7,공항,33.5040578,126.4952853,2021-09-29,2021-09-29,제주특별자치도 제주시 용담2동 1611-1,y
4692,옥스,,젤리,33.4068928,126.256934,2021-12-21,2021-12-21,제주특별자치도 제주시 한림읍 옹포리 397-4,y
4640,버튼포레스트,,숙소,33.3212059,126.2121917,2021-12-05,2021-12-05,제주특별자치도 제주시 한경면 조수리 2665,y
4680,만장굴,,0,33.5224543,126.7692329,2021-12-18,2021-12-18,제주특별자치도 제주시 구좌읍 행원리 산29-3,y
4693,형제도식당,,갈치,33.2571825,126.4117792,2021-12-23,2021-12-23,제주특별자치도 서귀포시 예래동 2267,y
4708,다인오세아노호텔,제주특별자치도 제주시 신엄연대길 30,3일째 숙소,33.4717978,126.3503234,2021-12-28,2021-12-28,제주특별자치도 제주시 애월읍 고내리 89,y
4727,백가네제주한상(식당),제주특별자치도 제주시 함덕5길 8-26,갈치구이,33.5371525,126.6778472,2022-01-01,2022-01-01,제주특별자치도 제주시 조천읍 함덕리 산17-17,y
4728,함덕해수욕장,제주특별자치도 제주시 함덕5길 8-26,바다구경,33.5452185,126.6676763,2022-01-01,2022-01-01,제주특별자치도 제주시 조천읍 함덕리,y
4729,고집돌우럭(식당),제주특별자치도 제주시 함덕5길 8-26,우럭정식,33.5442572,126.6629663,2022-01-01,2022-01-01,제주특별자치도 제주시 조천읍 함덕리 1020-8,y
4730,카페바나나(카페),제주특별자치도 제주시 함덕8길 2-2,"커피, 디저트",33.5428723,126.6616172,2022-01-01,2022-01-01,제주특별자치도 제주시 조천읍 함덕리 1048-1,y
4734,공항,,레,33.4978053,126.4954295,2022-01-02,2022-01-02,제주특별자치도 제주시 용담2동 1756-1,y
4737,제주공항,제주특별자치도 제주시 다호6길 31,10:30 옥이 도착,33.5000498,126.4940837,2022-01-03,2022-01-03,제주특별자치도 제주시 용담2동 1907,y
4733,제주해물통(식당),제주특별자치도 제주시 고사리길 83,"해산물 탕, 칼국수",33.5508517,126.700764,2022-01-01,2022-01-01,제주특별자치도 제주시 조천읍 북촌리 358-1,y
4747,제주 항만,제주특별자치도 제주시 연무정길 42-1,제주 도착,33.5160807,126.5345958,2022-01-05,2022-01-05,제주특별자치도 제주시 건입동 1053-12,y
4738,한담해변  산책,제주특별자치도 제주시 애월로1길 26-4,카페~,33.4596733,126.3110068,2022-01-03,2022-01-03,제주특별자치도 제주시 애월읍 애월리 2459-1,y
4741,첫째날 숙소,제주특별자치도 제주시 도령로 142,제주시 명주길3,33.4947397,126.4935446,2022-01-03,2022-01-03,제주특별자치도 제주시 연동,y
