콘텐츠명,평일오픈시간,평일클로즈시간,주말오픈시간,주말클로즈시간,휴식시작시간,휴식종료시간,난이도,장애인주차구역,장애인엘레베이터,장애인화장실,장애인화장실유효공간,장애인관람석및열람석,영유아돌봄시설,안내소접근가능여부,기타시설
서귀포예술의전당,9:00,22:00,9:00,22:00,,,,,,,,,,,
매오름,,,,,,,,,,,,,,,
제주힐CC,,,,,,,,,,,,,,,
"들레오름 (月坪峰, 月來岳, 月下岳)",,,,,,,,,,,,,,,
제주롯데스카이힐컨트리클럽,,,,,,,,,,,,,,,
메이즈랜드,9:00,18:00,9:00,18:00,,,1,y,y,y,y,n,y,y,"휠체어, 유모차"
큰바리메오름,,,,,,,,,,,,,,,
생각하는정원,9:00,18:00,9:00,18:00,,,1,y,,n,n,,n,y,"휠체어, 유모차,"
우도올레보트,9:00,17:00,9:00,17:00,,,,,,,,,,,
카멜리아힐,9:00,18:30,9:00,18:30,,,2,y,n,y,y,y,n,n,"휠체어, 유모차"
문도지오름 (문돗지),,,,,,,,,,,,,,,
새끼오름 (샛기오름),,,,,,,,,,,,,,,
재밋섬파크,,,10:00,19:00,,,,,,,,,,,
함덕카페거리,,,,,,,,,,,,,,,
포니밸리,9:50,14:30,9:50,14:30,,,2,n,,y,y,,n,y,"휠체어, 유모차 등"
노루생태관찰원,9:00,18:00,9:00,18:00,,,2,y,y,y,y,n,n,y,유모차
가마오름,,,,,,,,,,,,,,,
표선해수욕장,,,,,,,,,,,,,,,
이중섭거리,,,,,,,,,,,,,,,
꽃썸,9:00,20:00,9:00,20:00,,,,,,,,,,,
방림원,9:00,18:00,9:00,18:00,,,2,y,n,n,n,,n,y,"휠체어, 유모차 등"
한울랜드,8:30,18:00,8:30,18:00,,,,y,n,y,y,,n,y,"휠체어, 유모차"
소병악 (족은오름),,,,,,,,,,,,,,,
숫모르편백나무숲길,9:00,18:00,9:00,18:00,,,,,,,,,,,
소정방폭포,,,,,,,,,,,,,,,
협재포구,,,,,,,,,,,,,,,
황우지해안 열두굴,,,,,,,,,,,,,,,
족은사슴이오름,,,,,,,,,,,,,,,
검멀레해변,,,,,,,,,,,,,,,
산방산탄산온천,6:00,23:00,6:00,23:00,,,,,,,,,,,
여미지식물원,9:00,18:00,9:00,18:00,,,2,y,n,y,n,n,n,y,"휠체어, 유모차"
태흥포구,,,,,,,,,,,,,,,
다려도,,,,,,,,,,,,,,,
그랑블루 요트투어,,,,,,,,,,,,,,,
금룡사,,,,,,,,,,,,,,,
전농로 서사라문화거리,,,,,,,,,,,,,,,
왕이메오름,9:00,17:00,9:00,17:00,,,,,,,,,,,
바늘오름,,,,,,,,,,,,,,,
볼레낭길,,,,,,,,,,,,,,,
중문색달해수욕장,,,,,,,,,,,,,,,
우도잠수함(제주씨월드),9:00,18:00,9:00,18:00,,,,,,,,,,,
풋감마을 소길리 농어촌체험마을,,,,,,,,,,,,,,,
아침미소목장,10:00,17:00,10:00,17:00,,,,,,,,,,,
부영컨트리클럽,,,,,,,,,,,,,,,
김녕항,,,,,,,,,,,,,,,
산방굴사,8:30,18:00,8:30,18:00,,,,,,,,,,,
대포포구,,,,,,,,,,,,,,,
거믄여해안경승지,,,,,,,,,,,,,,,
평대리해변,,,,,,,,,,,,,,,
해녀박물관,9:00,17:00,9:00,17:00,,,1,y,y,y,y,n,y,y,"휠체어, 유모차"
제주현대미술관,9:00,18:00,9:00,18:00,,,1,y,y,y,y,,y,y,휠체어
남원큰엉해변,0:00,0:00,0:00,0:00,,,2,n,,y,y,,n,,
제주민속박물관,8:00,18:00,8:00,18:00,,,,,,,,,,,
제주유리의성,9:00,19:00,9:00,19:00,,,1,y,y,y,y,n,y,y,"■ 휠체어 ■유모차, "
따라비오름,,,,,,,,,,,,,,,
