LG_CAT,MD_CAT,SM_CAT,FUEL_TYPE,FUEL_COST,SCALE,FACTOR
자동차,BMW,3시리즈 320d x드라이브 GT 스포츠 라인(2020),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d x드라이브 GT M 스포츠 패키지(2020),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d x드라이브 GT 프리미엄 패키지(2020),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d x드라이브 GT M 스포츠 프리미엄 패키지(2020),Diesel,12.1,kgCO2/km,0.219318982
자동차,BMW,3시리즈 320d GT M 스포츠 패키지(2020),Diesel,12.8,kgCO2/km,0.207324975
자동차,BMW,3시리즈 320d GT 프리미엄 패키지(2020),Diesel,12.8,kgCO2/km,0.207324975
자동차,BMW,3시리즈 320d GT M 스포츠 프리미엄 패키지(2020),Diesel,12.8,kgCO2/km,0.207324975
자동차,BMW,3시리즈 320d GT(2020),Diesel,13,kgCO2/km,0.20413536
자동차,BMW,3시리즈 320d GT 럭셔리 라인(2020),Diesel,13,kgCO2/km,0.20413536
자동차,BMW,3시리즈 320d x드라이브(2020),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d x드라이브 럭셔리 라인(2020),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d x드라이브 M 스포츠 패키지(2020),Diesel,13.5,kgCO2/km,0.196574791
자동차,BMW,3시리즈 320d 투어링 M 스포츠(2020),Diesel,14.1,kgCO2/km,0.188209906
자동차,BMW,3시리즈 320d 투어링(2020),Diesel,14.1,kgCO2/km,0.188209906
자동차,BMW,3시리즈 320d(2020),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 320d 럭셔리 라인(2020),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 320d M 스포츠 패키지(2020),Diesel,14.3,kgCO2/km,0.1855776
자동차,BMW,3시리즈 M340i(2020),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 M340i x드라이브 투어링(2020),Gasoline,9.9,kgCO2/km,0.222027475
자동차,BMW,3시리즈 330i x드라이브 럭셔리 라인(2020),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,3시리즈 330i x드라이브 M 스포츠 패키지(2020),Gasoline,10.4,kgCO2/km,0.211353077
자동차,BMW,3시리즈 320i(2020),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i 럭셔리(2020),Gasoline,11,kgCO2/km,0.199824727
자동차,BMW,3시리즈 320i M 스포츠 패키지(2020),Gasoline,11,kgCO2/km,0.199824727
