,Unnamed: 0.1,Unnamed: 0,MCT_NM,naver_keyword,naver_map_url,menu_list
178,178,178,스피닝울프,제주도%20스피닝울프,https://m.place.naver.com/restaurant/66266463/menu/list,"울프치킨, 울프 마일드 버거, 울프 핫!타바스코 버거, 달고기&칩스, 흑돈&칩스, 윙봉&칩스, 제주 모닥 칩스, 팝 쉬림프 샐러드, 네 가지 치즈 샐러드, 흑돈 크러스트, 페퍼로니 크러스트, 콰트로 치즈 크러스트, 헤이!리키, 혜성특급, 브로드웨이"
179,179,179,신화돌담집,제주도%20신화돌담집,https://m.place.naver.com/restaurant/37195363/menu/list,"흑돼지왕꼬치구이(2인), 신화모듬 2인, 돌담스테이크2인 (추천), 김치말이국수, 어린이 짜장, 한라산 김치 볶음밥, 흑돼지왕꼬치구이(4인), 신화 돌담집 패밀리 셋트 700g, 신화 돌담집 패밀리 셋트 900g, 신화 모듬 (4인), 돌담스테이크4인 (추천), 흑돼지 모듬(300g), 자투리 구이(300g), 삼겹살(300g), 돼지 막창(400g)"
180,180,180,애월더선셋,제주도%20애월더선셋,https://m.place.naver.com/restaurant/37191637/menu/list,"치즈오믈렛, 생과일프렌치토스트, 아메리카노, 브런치, 과일에이드, 생과일쥬스, 수입맥주, 계절샐러드"
181,181,181,애월빵명장,제주도%20애월빵명장,https://m.place.naver.com/restaurant/1540982509/menu/list,"아메리카노, 빵, 에스프레소, 카페라떼, 카푸치노, 바닐라 라떼"
182,182,182,엉덩물횟집,제주도%20엉덩물횟집,https://m.place.naver.com/restaurant/448396704/menu/list,"특정식 D 1人, 특정식 B 1人, 특정식 A 1人, 황돔회, 엉덩물 특정식 스페셜 코스 1人, 갓돔회, 다금바리회, 구문쟁이(능성어), 갈치구이, 갈치조림, 갈치회, 고등어구이, 모듬회, 뿔소라회, 소라물회"
183,183,183,연동마라도,제주도%20연동마라도,https://m.place.naver.com/restaurant/19765895/menu/list,"모듬회, 대방어2인, 고등어회2인, 다금바리, 돌돔, 벵에돔, 황돔, 제주광어, 특 대방어 모둠(1인), 특대방어 뱃살(1인), 생참치,특대방어뱃살+특수부위 코스 1인, 생참치만 주문 1인, 데친 제주무늬오징어, 제주 광어회, 제주뿔소라회+문어"
184,184,184,오는정김밥,제주도%20오는정김밥,https://m.place.naver.com/restaurant/1011125170/menu/list,"오는정김밥, 치즈김밥, 떡갈비김밥, 참치김밥, 깻잎김밥, 멸치김밥"
185,185,185,우정회센타,제주도%20우정회센타,https://m.place.naver.com/restaurant/36631530/menu/list,"새우튀김(10마리), 전복구이(8마리), 우럭, 광어, 참돔, 도다리, 모둠, 딱새우회, 딱새우찜, 딱새우구이, 딱새우간장, 전복회, 딱새우 전복구이, 부시리, 광어"
186,186,186,울트라마린,제주도%20울트라마린,https://m.place.naver.com/restaurant/1289060635/menu/list,"아메리카노, 카페라떼, 썬셋아이스티, 썬라이즈 아이스티"
187,187,187,이스방한상,제주도%20이스방한상,https://m.place.naver.com/restaurant/1209672147/menu/list,"시그니쳐, 한상, 작은상"
188,188,188,인디언썸머,제주도%20인디언썸머,https://m.place.naver.com/restaurant/31872062/menu/list,
