,순번,코드명,코드값,코드값의미,폐지구분
2606,2607,법정동,5013025032,제주특별자치도 서귀포시 대정읍 영락리,현존
2607,2608,법정동,5013025033,제주특별자치도 서귀포시 대정읍 신도리,현존
2608,2609,법정동,5013025300,제주특별자치도 서귀포시 남원읍,현존
2609,2610,법정동,5013025321,제주특별자치도 서귀포시 남원읍 남원리,현존
2610,2611,법정동,5013025322,제주특별자치도 서귀포시 남원읍 태흥리,현존
2611,2612,법정동,5013025323,제주특별자치도 서귀포시 남원읍 한남리,현존
2612,2613,법정동,5013025324,제주특별자치도 서귀포시 남원읍 수망리,현존
2613,2614,법정동,5013025325,제주특별자치도 서귀포시 남원읍 의귀리,현존
2614,2615,법정동,5013025326,제주특별자치도 서귀포시 남원읍 신흥리,현존
2615,2616,법정동,5013025327,제주특별자치도 서귀포시 남원읍 위미리,현존
2616,2617,법정동,5013025328,제주특별자치도 서귀포시 남원읍 하례리,현존
2617,2618,법정동,5013025329,제주특별자치도 서귀포시 남원읍 신례리,현존
2618,2619,법정동,5013025900,제주특별자치도 서귀포시 성산읍,현존
2619,2620,법정동,5013025901,제주특별자치도 서귀포시 성산읍 신양리,현존
2620,2621,법정동,5013025921,제주특별자치도 서귀포시 성산읍 성산리,현존
2621,2622,법정동,5013025922,제주특별자치도 서귀포시 성산읍 오조리,현존
2622,2623,법정동,5013025923,제주특별자치도 서귀포시 성산읍 시흥리,현존
2623,2624,법정동,5013025924,제주특별자치도 서귀포시 성산읍 고성리,현존
2624,2625,법정동,5013025925,제주특별자치도 서귀포시 성산읍 수산리,현존
2625,2626,법정동,5013025926,제주특별자치도 서귀포시 성산읍 온평리,현존
2626,2627,법정동,5013025927,제주특별자치도 서귀포시 성산읍 신산리,현존
2627,2628,법정동,5013025928,제주특별자치도 서귀포시 성산읍 삼달리,현존
2628,2629,법정동,5013025929,제주특별자치도 서귀포시 성산읍 신풍리,현존
2629,2630,법정동,5013025930,제주특별자치도 서귀포시 성산읍 신천리,현존
2630,2631,법정동,5013025931,제주특별자치도 서귀포시 성산읍 난산리,현존
2631,2632,법정동,5013031000,제주특별자치도 서귀포시 안덕면,현존
2632,2633,법정동,5013031001,제주특별자치도 서귀포시 안덕면 대평리,현존
2633,2634,법정동,5013031021,제주특별자치도 서귀포시 안덕면 화순리,현존
2634,2635,법정동,5013031022,제주특별자치도 서귀포시 안덕면 창천리,현존
2635,2636,법정동,5013031023,제주특별자치도 서귀포시 안덕면 감산리,현존
2636,2637,법정동,5013031024,제주특별자치도 서귀포시 안덕면 상창리,현존
2637,2638,법정동,5013031025,제주특별자치도 서귀포시 안덕면 사계리,현존
2638,2639,법정동,5013031026,제주특별자치도 서귀포시 안덕면 덕수리,현존
2639,2640,법정동,5013031027,제주특별자치도 서귀포시 안덕면 서광리,현존
2640,2641,법정동,5013031028,제주특별자치도 서귀포시 안덕면 동광리,현존
2641,2642,법정동,5013031029,제주특별자치도 서귀포시 안덕면 광평리,현존
2642,2643,법정동,5013031030,제주특별자치도 서귀포시 안덕면 상천리,현존
2643,2644,법정동,5013032000,제주특별자치도 서귀포시 표선면,현존
2644,2645,법정동,5013032021,제주특별자치도 서귀포시 표선면 표선리,현존
2645,2646,법정동,5013032022,제주특별자치도 서귀포시 표선면 하천리,현존
2646,2647,법정동,5013032023,제주특별자치도 서귀포시 표선면 성읍리,현존
2647,2648,법정동,5013032024,제주특별자치도 서귀포시 표선면 가시리,현존
2648,2649,법정동,5013032025,제주특별자치도 서귀포시 표선면 세화리,현존
2649,2650,법정동,5013032026,제주특별자치도 서귀포시 표선면 토산리,현존
